"VGG16, Adam, lr: 0.001, bs: 32"
epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.12915971875190735,0.001,3.0422940254211426,0.0679841861128807,3.3598783016204834
1,0.1685837209224701,0.001,2.815581798553467,0.21264822781085968,2.7552030086517334
2,0.18728597462177277,0.001,2.7501726150512695,0.2189723253250122,2.7128005027770996
3,0.18948107957839966,0.001,2.7182836532592773,0.23557312786579132,2.667574167251587
4,0.19887611269950867,0.001,2.697463035583496,0.23241107165813446,2.671529531478882
5,0.20326630771160126,0.001,2.6974985599517822,0.22213438153266907,2.6835849285125732
6,0.2075687050819397,0.001,2.676001787185669,0.22134387493133545,2.6581244468688965
7,0.20669066905975342,0.001,2.672358274459839,0.22292490303516388,2.663609504699707
8,0.20967599749565125,0.001,2.668471336364746,0.21739129722118378,2.6626102924346924
9,0.21283695101737976,0.001,2.6664936542510986,0.22687746584415436,2.657438039779663
10,0.21274913847446442,0.001,2.658050060272217,0.2284584939479828,2.648226737976074
11,0.21845640242099762,0.001,2.646394968032837,0.22213438153266907,2.646672487258911
12,0.22003687918186188,0.001,2.642805814743042,0.23083004355430603,2.650162935256958
13,0.2171393483877182,0.001,2.6468636989593506,0.23715415596961975,2.632500410079956
14,0.21634911000728607,0.001,2.642742156982422,0.23241107165813446,2.642141103744507
15,0.21740275621414185,0.001,2.6424636840820312,0.2237154096364975,2.6445155143737793
16,0.2215295433998108,0.001,2.646310567855835,0.23715415596961975,2.6360549926757812
17,0.21924664080142975,0.001,2.6443734169006348,0.24110671877861023,2.6376492977142334
18,0.21608570218086243,0.001,2.638017177581787,0.23715415596961975,2.6368205547332764
19,0.21775397658348083,0.001,2.643237352371216,0.23715415596961975,2.6331374645233154
20,0.21740275621414185,0.001,2.6398794651031494,0.249802365899086,2.632840871810913
21,0.22003687918186188,0.001,2.640058994293213,0.23320157825946808,2.633545398712158
22,0.21353937685489655,0.001,2.6443734169006348,0.25296443700790405,2.6284143924713135
23,0.21520765125751495,0.001,2.6444101333618164,0.23557312786579132,2.6396734714508057
24,0.21871981024742126,0.001,2.6372644901275635,0.2450592815876007,2.6303231716156006
25,0.22144174575805664,0.001,2.6363747119903564,0.24347825348377228,2.632464647293091
26,0.21959786117076874,0.001,2.6402392387390137,0.24822133779525757,2.6265902519226074
27,0.21801738440990448,0.001,2.6420352458953857,0.24743083119392395,2.626328706741333
28,0.21468083560466766,0.001,2.6395750045776367,0.2395256906747818,2.63179612159729
29,0.22161735594272614,0.001,2.6405985355377197,0.2442687749862671,2.6271440982818604
"ResNet50, Adam, lr: 0.001, bs: 32"
0,0.15330582857131958,0.001,2.9439048767089844,0.20395256578922272,2.8634278774261475
1,0.2482219636440277,0.001,2.5578882694244385,0.31462451815605164,2.3919451236724854
2,0.29150936007499695,0.001,2.4068984985351562,0.3478260934352875,2.2574591636657715
3,0.319343239068985,0.001,2.32108736038208,0.37312254309654236,2.201974868774414
4,0.3447185754776001,0.001,2.252131938934326,0.39841896295547485,2.129420518875122
5,0.3588550388813019,0.001,2.1925230026245117,0.3897233307361603,2.110128879547119
6,0.372113436460495,0.001,2.156938076019287,0.41343873739242554,2.081641912460327
7,0.380806028842926,0.001,2.1337106227874756,0.4126482307910919,2.0552563667297363
8,0.3853718638420105,0.001,2.112459421157837,0.4221343994140625,2.025496482849121
9,0.3986302614212036,0.001,2.094853639602661,0.44584980607032776,2.003688097000122
10,0.4030204713344574,0.001,2.0653135776519775,0.4466403126716614,2.002241611480713
11,0.4094301462173462,0.001,2.0547502040863037,0.4529644250869751,1.967934012413025
12,0.4119764566421509,0.001,2.052154302597046,0.45612648129463196,1.979048490524292
13,0.41979101300239563,0.001,2.033432960510254,0.4569169878959656,1.9795937538146973
14,0.4199666380882263,0.001,2.0268595218658447,0.46086955070495605,1.9526828527450562
15,0.4307665228843689,0.001,2.0030291080474854,0.4679841995239258,1.9475394487380981
16,0.4285714328289032,0.001,1.9882351160049438,0.47588932514190674,1.9387842416763306
17,0.4309421479701996,0.001,1.997265338897705,0.48616600036621094,1.9217709302902222
18,0.4370006024837494,0.001,1.9860661029815674,0.4853754937648773,1.9296375513076782
19,0.43743962049484253,0.001,1.9781930446624756,0.47747036814689636,1.9265488386154175
20,0.43858107924461365,0.001,1.9630471467971802,0.4790513813495636,1.918143630027771
21,0.4463956356048584,0.001,1.964836835861206,0.4901185631752014,1.9037076234817505
22,0.44209325313568115,0.001,1.9666861295700073,0.49723321199417114,1.9050694704055786
23,0.44174203276634216,0.001,1.9596655368804932,0.5011857748031616,1.8943719863891602
24,0.4362981915473938,0.001,1.965400218963623,0.4940711557865143,1.890949010848999
25,0.44262006878852844,0.001,1.959519624710083,0.4885375499725342,1.8942350149154663
26,0.4458688199520111,0.001,1.9617805480957031,0.4940711557865143,1.8979551792144775
27,0.44525420665740967,0.001,1.9462188482284546,0.5083004236221313,1.8779387474060059
28,0.4425322711467743,0.001,1.9484384059906006,0.49644267559051514,1.890697956085205
29,0.4499078094959259,0.001,1.933097243309021,0.5043478012084961,1.8856902122497559
"InceptionV3, Adam, lr: 0.001, bs: 32"
0,0.1737641543149948,0.001,2.8783183097839355,0.290909081697464,2.7715060710906982
1,0.3013434112071991,0.001,2.388902187347412,0.3968379497528076,2.1540467739105225
2,0.37992799282073975,0.001,2.1434166431427,0.4592885375022888,1.9384665489196777
3,0.4201422333717346,0.001,1.9932317733764648,0.499604731798172,1.8332678079605103
4,0.4625515937805176,0.001,1.8722370862960815,0.52173912525177,1.7316385507583618
